target,feature,mae_increase_mean,mae_increase_std
assists,assists_avg_10,0.520614012375829,0.008336378109266107
assists,assists_avg_5,0.035519137403526815,0.0040092538032091805
assists,vs_opponent_assists_avg_5,0.014520501794147123,0.0028075126125597064
assists,minutes_avg_5,0.009516082496971001,0.0011883183186088822
assists,points_avg_5,0.007166553011854715,0.000935275355757789
assists,points_avg_10,0.0063941882474684904,0.001215948619908116
assists,vegas_total,0.00298688705342427,0.0005080429439231839
assists,days_rest,0.0028837048224808815,0.00043856948367802345
assists,vegas_spread,0.0019563027030031544,0.0008597986237104883
assists,activity_proxy_avg_5,0.0015322842448974416,0.0008250989159676992
assists,rebounds_avg_10,0.0013928519856316601,0.0006282251783404233
assists,team_recent_win_pct_10,0.0009542948667978113,0.00041213668310924876
assists,team_points_for_avg_10,0.0007790308895537556,0.0007259350628774079
assists,vs_opponent_rebounds_avg_5,0.0002050885758000831,0.0003329885260220816
assists,is_home_game,0.0,0.0
assists,is_back_to_back,0.0,0.0
assists,rebounds_avg_5,-8.537522453955227e-06,0.00030244397490847996
assists,team_points_against_avg_10,-1.790603616380615e-05,0.0005685063444810187
assists,vs_opponent_points_avg_5,-0.00011449748701430895,0.0003229313797389808
assists,team_pace_proxy_10,-0.0011098578309558516,0.0001958072995303974
points,points_avg_10,1.796014154761668,0.03518572057988356
points,minutes_avg_5,0.16276269373273972,0.012780244842702836
points,activity_proxy_avg_5,0.03329288411116087,0.006753848084855941
points,points_avg_5,0.014739683177168849,0.0031972350351150087
points,days_rest,0.010127367500260043,0.002322424563925211
points,vs_opponent_points_avg_5,0.005864534728605442,0.0018548234191068502
points,rebounds_avg_5,0.005646976527986691,0.0013113096006878344
points,assists_avg_10,0.004583518505091711,0.0022086758680693744
points,team_recent_win_pct_10,0.00455334805545613,0.0007702299112051463
points,team_points_for_avg_10,0.001803552363257932,0.0007400029053905425
points,team_points_against_avg_10,0.0014632270831592465,0.00046523507790836063
points,vegas_spread,0.0012628182354423422,0.0005332002224889402
points,rebounds_avg_10,0.0010644849667619915,0.0005808894413740274
points,is_back_to_back,0.00018824578232061738,8.657312000628183e-05
points,vs_opponent_assists_avg_5,0.0001232603042475411,0.0006042454129423058
points,vs_opponent_rebounds_avg_5,0.00011780094989761735,0.00010616028218135075
points,is_home_game,0.0,0.0
points,vegas_total,-0.00023731191673226348,0.0004571768545145714
points,team_pace_proxy_10,-0.0003947657655769987,0.0003357494058715032
points,assists_avg_5,-0.0015387492272248338,0.0006204438482001795
rebounds,rebounds_avg_10,0.6623471179854185,0.006826660500284669
rebounds,rebounds_avg_5,0.05393608277914055,0.00333976825077054
rebounds,points_avg_5,0.012324445234049209,0.002186174146881873
rebounds,minutes_avg_5,0.00949912484272033,0.0009223845495405465
rebounds,days_rest,0.004890779092054709,0.0016301113126957107
rebounds,vs_opponent_rebounds_avg_5,0.0032009955252553903,0.0013111242131243165
rebounds,assists_avg_5,0.0017516819731856037,0.00023004333692257722
rebounds,points_avg_10,0.0015054633008799057,0.0002777339484075932
rebounds,vegas_total,0.0007515466569232521,0.00031201371866094584
rebounds,team_recent_win_pct_10,0.0004798288248211158,0.0003764252602690272
rebounds,is_home_game,0.0,2.827818243420251e-05
rebounds,is_back_to_back,0.0,0.0
rebounds,team_pace_proxy_10,-3.424040582757915e-05,0.00031932099602657876
rebounds,vs_opponent_assists_avg_5,-4.8111462194477814e-05,0.00012738239281248785
rebounds,team_points_for_avg_10,-0.00014107095117501522,0.0005884104271126318
rebounds,vs_opponent_points_avg_5,-0.0001431071296868369,0.00010175343151912523
rebounds,assists_avg_10,-0.0001831254578995578,0.000777002188628549
rebounds,vegas_spread,-0.0002650425076682561,0.0012302612404082565
rebounds,activity_proxy_avg_5,-0.0003144420673842685,0.000845374693957582
rebounds,team_points_against_avg_10,-0.0006985367675836019,0.00033081209953154267
