date,target,model_mae,baseline_mae,n_rows,window_complete
2026-03-11,points,5.023316845085186,4.952320967146548,172,False
2026-03-12,points,4.98747490133731,5.014483124899791,396,False
2026-03-13,points,4.948540272588935,4.965906620906621,555,False
2026-03-14,points,4.87864864874583,4.893263861407906,722,False
2026-03-15,points,4.9517786858964925,4.968618473030237,884,False
2026-03-16,points,4.991268118912881,5.0114739793098,1005,False
2026-03-17,points,4.853838524436802,4.867699891133422,1181,True
2026-03-18,points,4.897748182460081,4.926614574810451,1164,True
2026-03-19,points,4.810129497500408,4.806894042649856,1118,True
2026-03-20,points,4.794816745501745,4.792058522872476,1118,True
2026-03-21,points,4.764341639181271,4.760732859000186,1111,True
2026-03-22,points,4.710020321581583,4.721008751759411,1139,True
2026-03-23,points,4.613436172939385,4.627095103578155,1180,True
2026-03-24,points,4.7740280028726625,4.786447444831591,1148,True
2026-03-25,points,4.6257347033365415,4.63279829961888,1137,True
2026-03-26,points,4.585652119900038,4.601894815897374,1173,True
2026-03-27,points,4.617742606688034,4.643939594356261,1080,True
2026-03-28,points,4.630685216820376,4.638273775255641,1158,True
2026-03-29,points,4.621151863488968,4.6155364677516575,1185,True
2026-03-30,points,4.637613808783641,4.636709631769374,1088,True
2026-03-31,points,4.512897480524427,4.5210071891237815,1115,True
2026-04-01,points,4.585969979342229,4.5948800598670845,1156,True
2026-04-02,points,4.734675672763956,4.755822732221649,1108,True
2026-04-03,points,4.6000960297901825,4.65508814728077,1220,True
2026-04-04,points,4.662617484034694,4.749032266907914,1158,True
2026-04-05,points,4.654893653081229,4.7442027002371825,1131,True
2026-04-06,points,4.651548887289847,4.715096573466044,1153,True
2026-04-07,points,4.733011660537599,4.811624732635371,1128,True
2026-04-08,points,4.726795847023765,4.822798348761571,1142,True
2026-04-09,points,4.706410535905796,4.781887680706578,1143,True
2026-04-10,points,4.770155084999146,4.798650793650793,1145,True
2026-04-11,points,4.872965328687735,4.914816189101903,1155,True
2026-04-12,points,5.018110623015202,5.076469960744155,1116,True
2026-04-13,points,5.309604952227924,5.419167068176343,1186,True
2026-03-11,assists,1.243811559838129,1.2312361572535993,172,False
2026-03-12,assists,1.2706239774357067,1.2730930335097002,396,False
2026-03-13,assists,1.28533540881599,1.2922787072787074,555,False
2026-03-14,assists,1.291042903397714,1.3020418370487623,722,False
2026-03-15,assists,1.3172779899149671,1.3271704194498313,884,False
2026-03-16,assists,1.3201336337623955,1.3296193634999605,1005,False
2026-03-17,assists,1.325022550948099,1.3365610257650902,1181,True
2026-03-18,assists,1.3432530735752695,1.3542147357224679,1164,True
2026-03-19,assists,1.3646427052023118,1.3771385268478291,1118,True
2026-03-20,assists,1.3896842698809964,1.3985110174063662,1118,True
2026-03-21,assists,1.3972908109993118,1.4086440786935837,1111,True
2026-03-22,assists,1.3926319281866308,1.3978294800507267,1139,True
2026-03-23,assists,1.375026053740317,1.382449892386333,1180,True
2026-03-24,assists,1.4040577134334473,1.408700431392069,1148,True
2026-03-25,assists,1.4068830678205855,1.410177157934414,1137,True
2026-03-26,assists,1.414038409498,1.40771187702134,1173,True
2026-03-27,assists,1.3925416448948071,1.3900139623750736,1080,True
2026-03-28,assists,1.4209254964496538,1.4069252542698139,1158,True
2026-03-29,assists,1.4096368156223404,1.4054139039582079,1185,True
2026-03-30,assists,1.4227318346492264,1.420641850490196,1088,True
2026-03-31,assists,1.3787616022999711,1.3723225852373835,1115,True
2026-04-01,assists,1.3734497678386397,1.3800275992750042,1156,True
2026-04-02,assists,1.3932640736058588,1.4028938169732394,1108,True
2026-04-03,assists,1.391011928828971,1.400113192818111,1220,True
2026-04-04,assists,1.3500739187565556,1.3682083915892207,1158,True
2026-04-05,assists,1.3436944832582225,1.3641043184146633,1131,True
2026-04-06,assists,1.3594192494453419,1.3779970126240724,1153,True
2026-04-07,assists,1.3883449897565572,1.4090393870314082,1128,True
2026-04-08,assists,1.3870137503403115,1.3969543129569397,1142,True
2026-04-09,assists,1.3693536200969507,1.3898370342596065,1143,True
2026-04-10,assists,1.3855891260429578,1.4138653219657586,1145,True
2026-04-11,assists,1.4240849161760234,1.4475015460729745,1155,True
2026-04-12,assists,1.4800940593745266,1.4963183421516755,1116,True
2026-04-13,assists,1.542036900868726,1.5615253352605798,1186,True
2026-03-11,rebounds,1.9217698940665584,1.8871816168327795,172,False
2026-03-12,rebounds,1.8186073315918163,1.8284461680295012,396,False
2026-03-13,rebounds,1.864580917866815,1.872937937937938,555,False
2026-03-14,rebounds,1.8612788081990568,1.8734610649430594,722,False
2026-03-15,rebounds,1.8920835557524984,1.892364253393665,884,False
2026-03-16,rebounds,1.898236950635653,1.898563136697465,1005,False
2026-03-17,rebounds,1.885247203037358,1.8890867975753665,1181,True
2026-03-18,rebounds,1.9010597278206351,1.911160884743359,1164,True
2026-03-19,rebounds,1.9077418892476807,1.916579705823892,1118,True
2026-03-20,rebounds,1.8896088152446489,1.8956491183235367,1118,True
2026-03-21,rebounds,1.8833765239095748,1.8861032531824613,1111,True
2026-03-22,rebounds,1.8902935114073773,1.8949499700377663,1139,True
2026-03-23,rebounds,1.8516420406539231,1.853948748991122,1180,True
2026-03-24,rebounds,1.8302925921961126,1.8321971268182067,1148,True
2026-03-25,rebounds,1.8230933917263852,1.8311747008976558,1137,True
2026-03-26,rebounds,1.8614170339439167,1.8579043694772595,1173,True
2026-03-27,rebounds,1.861016449608767,1.856003821281599,1080,True
2026-03-28,rebounds,1.8811326307890954,1.8713449570962521,1158,True
2026-03-29,rebounds,1.8453798418277538,1.8490389123300517,1185,True
2026-03-30,rebounds,1.8888972900428096,1.8930001167133517,1088,True
2026-03-31,rebounds,1.9249824296528908,1.9222300519609936,1115,True
2026-04-01,rebounds,1.935307024905831,1.9350445570385015,1156,True
2026-04-02,rebounds,1.9389213432521468,1.9414621654919486,1108,True
2026-04-03,rebounds,1.9229853629104352,1.9224577153265674,1220,True
2026-04-04,rebounds,1.8976283404569625,1.9088610631356746,1158,True
2026-04-05,rebounds,1.9238698014192306,1.9194626892902755,1131,True
2026-04-06,rebounds,1.903149809407088,1.902888255620259,1153,True
2026-04-07,rebounds,1.9004696777924275,1.9035893701452211,1128,True
2026-04-08,rebounds,1.9048253002323878,1.89560851193951,1142,True
2026-04-09,rebounds,1.9187519376768687,1.9099272313183076,1143,True
2026-04-10,rebounds,1.916767588421758,1.9126429611145768,1145,True
2026-04-11,rebounds,1.991069224511234,1.973850752422181,1155,True
2026-04-12,rebounds,2.0157173769419847,2.008396981851283,1116,True
2026-04-13,rebounds,2.097979274976448,2.1004041864075593,1186,True
