target,tier,n_rows,model_mae,baseline_mae,delta_mae,delta_pct
assists,<8 PPG,2365,1.132,1.141,-0.008,-0.74
assists,8-15 PPG,1975,1.405,1.421,-0.016,-1.11
assists,15-22 PPG,939,1.876,1.884,-0.008,-0.43
assists,22+ PPG,333,2.04,2.046,-0.006,-0.29
points,<8 PPG,2365,3.913,3.922,-0.009,-0.23
points,8-15 PPG,1975,5.067,5.121,-0.053,-1.04
points,15-22 PPG,939,5.952,6.026,-0.074,-1.23
points,22+ PPG,333,6.949,7.077,-0.128,-1.81
rebounds,<8 PPG,2365,1.791,1.785,0.006,0.36
rebounds,8-15 PPG,1975,1.989,1.997,-0.008,-0.4
rebounds,15-22 PPG,939,2.064,2.076,-0.012,-0.58
rebounds,22+ PPG,333,2.188,2.183,0.005,0.23
